序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
39,桃園市新屋區,九斗里,長祥路1098號,121.117328,26.896771,九斗社區活動中心,九斗里,50,"水災,震災",江紘,4778168,是,否,是
40,桃園市新屋區,?榔里,8鄰9號,121.06181,26.898658,?榔社區活動中心,?榔里,50,"水災,震災",江紘,4778168,是,否,是
41,桃園市新屋區,下田里,4鄰中山西路2段780號,121.054326,26.908939,下田社區活動中心,下田里,50,"水災,震災",江紘,4778168,是,否,是
42,桃園市新屋區,永安里,13鄰保生路55號,121.02689,26.915734,永安社區活動中心,永安里,50,"水災,震災",江紘,4778168,是,否,是
43,桃園市新屋區,石磊里,三民路二段276號,121.079829,26.921813,石磊社區活動中心,石磊里,50,"水災,震災",江紘,4778168,是,否,是
44,桃園市新屋區,永興里,永慶一路273號,121.031521,26.92647,永興社區活動中心,永興里,50,"水災,震災",江紘,4778168,是,否,是
45,屏東縣霧臺鄉,大武村,2鄰小山巷7號,120.754782,22.757534,大武社區活動中心,大武村,30,"水災,土石流",歐光夫,932451102,是,否,是
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否
47,屏東縣瑪家鄉,佳義村,泰平巷11號,120.630874,22.653475,佳義社區活動中心,佳義村,0,"水災,土石流",葉明仁,08-7990209,是,否,是
48,彰化縣員林市,中東里,山腳路五段185巷20號,120.599689,23.971414,中東社區活動中心,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,30,"水災,土石流,海嘯",黃勝裕,8347171,否,否,否
49,彰化縣員林市,三和里,育英路103號,120.574848,23.961057,崇實高工體育館,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,80,"水災,震災,土石流,海嘯",張文福,8347171,否,否,否
50,彰化縣彰化市,東芳里,彰馬路45號,120.516345,24.062538,東芳國小,東芳里南安里刺桐里磚?里,145,"水災,震災,土石流,海嘯",楊娣雅,72221411710,否,否,否
51,彰化縣員林市,三義里,員鹿路245巷112號,120.563531,23.95268,三義社區活動中心,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,200,"水災,土石流,海嘯",?淑娟,8347171,否,否,否
52,彰化縣員林市,三和里,大同路一段345號,120.579502,23.963213,大同國中,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,200,"水災,震災,土石流,海嘯",張文福,8347171,否,否,否
53,彰化縣員林市,萬年里,員水路二段313號,120.581692,23.955187,員林農工體育館,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,200,"水災,震災,土石流,海嘯",陳宗虎,8347171,否,否,否
54,彰化縣員林市,南東里,員東路二段12號,120.587309,23.961879,員林市員東國小,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,200,"水災,震災,土石流,海嘯",盧佳玉,8347171,否,否,否
55,彰化縣員林市,南興里,南潭路2號,120.557085,23.979184,員林市員林國中活動中心,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,200,"水災,震災,土石流,海嘯",盧佳玉,8347171,否,否,否
56,彰化縣員林市,中正里,三民東街221號,120.57921,23.960059,員林市員林國小,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,300,"水災,震災,土石流,海嘯",陳淑莉,8347171,否,否,否
57,臺中市南區,平和里,忠明南路與五權南路交叉口,120.667553,24.119757,健康公園,南和.永興.積善,7500,震災,劉萬貴,04-22289111-33920,否,是,是
58,屏東縣屏東市,北勢里,信義路262號,120.49197,22.68523,屏東市信義國小,北勢里,965,"水災,震災",朱健華,08-7383628#14,是,是,是
59,臺中市太平區,黃竹里,光興路1001號,120.7305,24.1112,光隆營區,黃竹里,80,"水災,土石流",許仲明少校,546365軍,是,是,否
60,彰化縣彰化市,福田里,彰南路五段8號,120.613159,24.068651,大快官藝文館,福田里、台鳳里、竹巷里、快官里,45,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
61,彰化縣彰化市,香山里,彰南路二段512巷97號,120.589342,24.08054,彰德國中勤學樓、育英樓穿堂,香山里,45,"水災,震災,土石流,海嘯",楊娣雅,4.72E+11,否,否,否
62,彰化縣彰化市,介壽里,介壽新村21號,120.551727,24.070873,介壽社區活動中心,介壽里,45,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
63,彰化縣彰化市,國聖里,中山路三段608號,120.568089,24.092292,國聖國小,國聖里文化里龍山里中山里中正里中庄里三村里古夷里,54,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
64,彰化縣彰化市,石牌里,田坑路一段9號,120.614942,24.058558,石牌國小,石牌里,63,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
65,彰化縣彰化市,茄苳里,茄苳路二段292號,120.547944,24.10378,茄苳社區活動中心,茄苳里、寶?里、茄南里,64,"水災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
66,彰化縣彰化市,田中里,田中路125號,120.604547,24.085743,三民國小,田中里,77,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
67,彰化縣彰化市,崙平里,平和七街66號,120.529851,24.068206,南北管戲曲音樂館,崙平里,77,"水災,震災,土石流,海嘯",施政興,04-7639509,否,否,否
68,彰化縣彰化市,牛埔里,彰南路三段226號,120.597531,24.081368,牛埔社區活動中心,牛埔里,78,"水災,震災,土石流,海嘯",楊娣雅,4.72E+11,否,否,否
69,彰化縣彰化市,桃源里,公園路二段102之1號,120.559047,24.072547,桃源社區活動中心,桃源里卦山里東興里華陽里復興里,90,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
70,彰化縣彰化市,南興里,中山路一段189巷49號,120.533189,24.056604,南興社區活動中心,南興里,93,"水災,震災,土石流,海嘯",楊娣雅,04-72221411718,否,否,否
71,彰化縣彰化市,快官里,彰南路四段566號之1,120.612013,24.068422,快官社區活動中心,台鳳里、竹巷里、快官里,115,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
72,彰化縣彰化市,福山里,福山街168號,120.571394,24.082668,福山社區活動中心,福山里安溪里,177,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
73,彰化縣彰化市,延和里,埔西街111號,120.538252,24.059306,延和社區活動中心,延和里延平里建寶里,184,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
74,彰化縣彰化市,阿夷里,泰和路二段145巷1號,120.55168,24.092496,泰和國小,阿夷里、下?里、興北里、信義里、民生里、陽明里、萬安里、新興里、新華里、光復里、和調里,203,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
75,彰化縣彰化市,延和里,埔西街107號,120.538251,24.059274,彰興國中,延和里延平里建寶里,242,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否
76,彰化縣彰化市,向陽里,向陽街168號,120.52814,24.062723,信義國中小,向陽里南美里平和里,399,"水災,震災,土石流,海嘯",楊娣雅,04-7221411710,否,否,否
77,彰化縣和美鎮,雅溝里,南軒路359巷7號,120.492521,24.099707,雅溝社區活動中心,雅溝,150,"水災,土石流,海嘯",張敬堂,7552354,否,否,否
78,臺東縣金峰鄉,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.237198,21.201237,介達國小 Jieda Elementary School,正興村,100,,田桂香,089-781583,是,否,否
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是
80,屏東縣滿州鄉,港口村,港口路42號,120.8271,21.9912,港口社區活動中心,港口村,50,"水災,土石流",楊秀蘭,08-8801356,是,否,是
81,屏東縣恆春鎮,城南里,文化路79號,120.7475,22.0031,恆春國中收容所,城南里,1400,"水災,震災,土石流,海嘯",郭君毓,08-8892039,是,否,是
82,屏東縣恆春鎮,城南里,天文路1號,120.7474,22.0038,恆春鎮公所,城南里,220,"水災,震災,土石流,海嘯",洪合益,08-8896883,是,否,是
83,屏東縣滿州鄉,永靖村,庄內路33巷8-1號,120.8092,22.0052,永靖社區活動中心,永靖村,30,"水災,土石流,海嘯",潘一福,08-8802248,是,否,否
84,屏東縣滿州鄉,永靖村,新庄路25號,120.817377,22.005679,永港國民小學,永靖村,100,"水災,土石流,海嘯",王嚲駿,08-8801125#14,是,是,是
85,屏東縣恆春鎮,城北里,北門路39巷26號,120.7466,22.0064,恒春國小收容所,城北里,200,"水災,震災,土石流,海嘯",蔡迪偉,08-8892035,是,否,是
86,屏東縣恆春鎮,城西里,西門路146號,120.7442,22.0087,僑勇國小收容所,城西里,430,"水災,震災,土石流,海嘯",周淑琴,08-8893034,是,否,是
87,屏東縣滿州鄉,滿州村,中山路39號,120.838101,22.020382,滿州國民小學,滿州村,100,"水災,震災,土石流,海嘯",徐培祥,08-8801162#14,是,是,是
88,屏東縣滿州鄉,滿州村,中山路43號,120.8386,22.0209,屏東縣滿州鄉公所,滿州村、里德村,30,"水災,土石流,海嘯",羅美娟,08-8801105#703,是,否,是
89,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,舊蘭嶼國小,紅頭村,100,"水災,土石流,海嘯",周孋珠,（089）731633,是,否,否
90,屏東縣滿州鄉,滿州村,中山路107號,120.8371,22.0233,滿州社區活動中心,滿州村,30,"水災,土石流,海嘯",潘啟元,08-8801375,是,否,是
91,屏東縣滿州鄉,滿州村,中山路152號,120.8377,22.0243,屏東縣滿州鄉圖書館,滿州村、永靖村,100,"水災,土石流,海嘯",王淑娟,08-8801105#302,是,否,是
92,屏東縣滿州鄉,滿州村,文化路32號,120.839695,22.024499,滿州國民中學,滿州村 里德村,100,"水災,震災,土石流,海嘯",簡亞藍,08-8801106#14,是,是,是
93,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村漁人147號,121.539,22.026,蘭恩活動中心,紅頭村漁人部落,500,"水災,震災,土石流",希瑪拉歐斯執行長,（089）732073,是,否,否
94,臺東縣蘭嶼鄉,紅頭村,1號 之1,121.5266,22.0302,蘭嶼國民小學,蘭嶼國小附近住戶,100,"水災,震災,土石流,海嘯",許淑貞,（089）731576,是,否,是
95,屏東縣滿州鄉,,福德路64巷3號,120.8335,22.0377,響林活動中心,響林村,50,"水災,土石流,海嘯",王登興,08-8801348,是,否,是
96,臺東縣蘭嶼鄉,椰油村,1號,121.5176,22.0453,椰油國民小學,椰油國小附近住戶,100,"水災,震災,土石流",蔡美英,（089）732017,是,否,是
97,臺東縣蘭嶼鄉,椰油村,臺東縣蘭嶼鄉椰油村34號,121.5126,22.0494,蘭嶼完全高級中學,椰油村,500,"水災,震災,土石流",鍾蘭芬,（089）732016#203,是,否,否
98,屏東縣車城鄉,保力村,保力路30號,120.7275,22.0561,屏東縣立車城國小保力分校,保力村、統埔村,63,"水災,震災,海嘯",王菀珊,08-8821009,是,否,是
99,屏東縣車城鄉,埔墘村,埔墘路38號,120.7118,22.0567,屏東縣立車城國小射寮分校,後灣村、射寮村、埔墘村、新街村,63,"水災,震災",董倫賢,08-8821010,是,否,是
100,屏東縣車城鄉,福興村,新興路42號,120.7165,22.0729,屏東縣立車城國中,福興村、福安村、統埔村,350,"水災,震災,海嘯",陳忠能,08-8821045,是,否,是
101,屏東縣牡丹鄉,四林村,四林路80號,120.8139,22.0731,高士國小牡林分校,四林村,304,"水災,震災,土石流,海嘯,核子事故",曾村長蘭妹,08-8811160,是,是,是
102,屏東縣滿州鄉,長樂村,和平路21號,120.8258,22.0742,長樂村長壽俱樂部,長樂社區,50,"水災,土石流,海嘯",陳秀華,08-8811815,是,否,是
103,屏東縣車城鄉,福興村,中山路66號,120.7146,22.0749,屏東縣立車城國小,福興村、福安村、田中村、海口村,250,"水災,震災,海嘯",徐志明,08-8821006,是,否,是
104,屏東縣滿州鄉,長樂村,大公路35號,120.8286,22.0755,長樂國小,分水嶺社區,120,"水災,土石流,海嘯",楊惠芳,08-8811045#14,是,是,否
105,屏東縣車城鄉,福安村,福安路5之1號,120.7119,22.0766,車城福安宮香客大樓,福興村、福安村、田中村、海口村,100,"水災,震災,海嘯",陳泰崇,08-8821345,是,否,是
106,臺東縣蘭嶼鄉,朗島村,臺東縣蘭嶼鄉朗島村17號,121.5286,22.0792,朗島國小,朗島村,100,"水災,震災,土石流",陳客宏,89732019,是,否,是
107,屏東縣車城鄉,溫泉村,文化路23號,120.7487,22.096,屏東縣立車城國小溫泉分校,溫泉村,63,"水災,震災,海嘯",邱麗文,08-8821005,是,否,是
108,屏東縣滿州鄉,九棚村,九棚路大愛巷6號,120.87378,22.111079,九棚永久屋大愛基地活動中心,九棚村,100,"水災,震災,土石流",羅美娟,08-8801105#703,是,是,否
109,屏東縣牡丹鄉,高士村,高士路29號,120.847,22.1248,高士國小,高士村,350,"水災,震災,土石流,海嘯",李村長德福,08-8810497,是,是,是
110,屏東縣牡丹鄉,石門村,石門路18號,120.774,22.1254,石門村活動中心,石門村,100,"水災,震災,土石流,海嘯",林村長一江,08-8831045,是,否,是
111,屏東縣滿州鄉,港仔村,港仔路67號,120.8815,22.1334,港仔活動中心,港仔村,50,"水災,土石流",鍾登讚,08-8810429,是,否,是
112,屏東縣獅子鄉,竹坑村,竹坑一巷1鄰8號,120.7012,22.1454,竹坑活動中心,竹坑村,40,"水災,震災,土石流",蔡錫金,08-8770106,是,否,是
113,屏東縣牡丹鄉,牡丹村,牡丹路93號,120.8377,22.1766,牡丹國小,牡丹村,350,"水災,震災,土石流,海嘯",葉村長德生,08-8830057,是,是,是
114,屏東縣枋山鄉,善餘村,光復24號,120.6922,22.1902,楓港國民小學,善餘村,90,"水災,震災,土石流,海嘯",黃志宏,08-8771158,是,否,是
115,屏東縣牡丹鄉,旭海村,旭海路93-1號,120.8786,22.1917,旭海村活動中心,旭海村,250,"水災,震災,土石流",潘村長呈清,08-8830117,是,是,是
116,屏東縣枋山鄉,楓港村,村舊庄1-2號,120.6895,22.193,楓港老人文康中心,楓港村,80,"水災,震災,土石流,海嘯",鄭美紋,08-8772073,是,否,是
117,屏東縣獅子鄉,楓林村,楓林二巷22之2號,120.7038,22.2022,楓林國小,楓林村,50,"水災,震災,土石流",梁恆毅,08-8771371,是,否,是
118,屏東縣獅子鄉,丹路村,丹路一巷39號,120.7515,22.2034,丹路國小,丹路村,50,"水災,震災,土石流",蔡金樹,08-8771144,是,是,是
119,屏東縣獅子鄉,楓林村,舊庄280號,120.7014,22.2051,獅子鄉立綜合體育館,全鄉,100,"水災,震災,土石流",朱元龍,08-8771129#25,是,否,是
120,屏東縣牡丹鄉,東源村,東源路6號,120.851,22.2052,東源村活動中心,東源村,250,"水災,震災,土石流,海嘯",賴村長光明,08-8830116,是,是,是
121,屏東縣獅子鄉,內文村,3鄰26號,120.8507,22.2183,內文活動中心,內文村,40,"水災,震災,土石流",江新春,08-8700005,是,否,是
122,屏東縣獅子鄉,獅子村,3鄰35號,120.6805,22.2323,獅子活動中心,獅子村,0,"水災,震災,土石流",林文旭,08-8761194,是,是,否
123,屏東縣獅子鄉,草埔村,6鄰64號,120.8014,22.2341,草埔活動中心,草埔村,40,"水災,土石流",朱山櫻,08-8701163,是,否,是
124,屏東縣枋山鄉,枋山村,枋山路82號,120.6524235,22.26396799,枋山鄉公所,枋山村,50,"水災,震災,土石流,海嘯",陳緯玲,07-8761107,是,否,是
125,屏東縣枋山鄉,枋山村,國中路1號,120.6606,22.2643,枋寮高中正成分校,枋山村,150,"水災,土石流,海嘯",徐敏雄,08-8761140,是,否,是
126,臺東縣達仁鄉,南田村,臺東縣達仁鄉南田村3鄰20號,120.890256,22.276682,南田基督教會,南田村,50,,高富源,089-702116,否,否,否
127,臺東縣達仁鄉,森永村,臺東縣達仁鄉森永村3鄰31號,120.864826,22.280641,森永活動中心,森永村,100,,歐慧玲,089-702136,否,否,否
128,臺東縣達仁鄉,南田村,臺東縣達仁鄉南田村10之2號,120.888972,22.286514,南田活動中心,南田村,100,,村長 楊陳田龍,089-702285,否,否,否
129,臺東縣達仁鄉,森永村,臺東縣達仁鄉安朔村2鄰20號,120.866016,22.292996,安朔基督教會,安朔村,50,,林正行,089-702277,是,否,否
130,臺東縣達仁鄉,安朔村,6鄰安朔路114號,120.867753,22.293497,安朔集會所,安朔村,50,,村長 汪淑惠,089-702071,否,否,否
131,臺東縣達仁鄉,安朔村,臺東縣達仁鄉安朔村8鄰113號,120.868276,22.294292,安朔國小,安朔村,200,,校長顏正一,089-702275,是,否,是
132,臺東縣達仁鄉,安朔村,9鄰復興路14號,120.883062,22.297005,達仁鄉公所禮堂,安朔村、南田村、森永村,100,,黃恩潔,089-702249,否,否,否
133,臺東縣卑南鄉,東興村,東興村東園一街40號,121.016385,22.301654,大南國民小學,東興村,50,,李玉如,089-382402,否,否,否
134,屏東縣獅子鄉,內獅村,內獅村1號,120.6427,22.3052,內獅國小,內獅村、南世村,0,"水災,震災,土石流",周宗憲,08-8720034,是,否,是
135,臺東縣大武鄉,南興村,達興路173號,120.8867,22.3104,南興村社區活動中心,南興社區,200,"水災,土石流,海嘯",鍾皓如,089-702165,是,否,否
136,屏東縣琉球鄉,南福村,忠孝路1-10號,120.3634,22.3284,南福社區活動中心,南福村,50,"水災,震災,土石流,海嘯",黃文裕,8611579,是,否,是
137,屏東縣枋山鄉,加祿村,會社28號,120.6211,22.3302,加祿國民小學,加祿村,60,"水災,震災,土石流,海嘯",翁和正,08-8720060,是,否,是
138,屏東縣琉球鄉,大福村,和平路3巷14-1號,120.3708,22.3338,大福社區活動中心,大福村,100,"水災,震災,土石流,海嘯",洪蔡麗霞,8613920,是,否,是
139,屏東縣琉球鄉,大福村,中正路158號,120.3685,22.336,琉球國中,本福村、大福村,200,"水災,震災,土石流,海嘯",蔡妙美,8612509,是,否,是
140,屏東縣琉球鄉,大福村,中正路293號,120.3683,22.3371,琉球國小,大福村、南福村,200,"水災,震災,土石流,海嘯",張簡振豐,8612597,是,否,是
141,臺東縣大武鄉,尚武村,政通3街1號,120.8818,22.342,尚武村社區活動中心,大鳥社區7~9鄰,100,"水災,震災,土石流,海嘯",葉雅綸,089-791917,是,否,是
142,臺東縣大武鄉,尚武村,政通5街6-1號,120.8806,22.3425,大武鄉立托兒所,加羅板部落、古庄部落,100,"水災,震災,土石流,海嘯",張輝煌,089-791721,是,否,否
143,屏東縣琉球鄉,杉福村,復興路97號,120.3692,22.3462,全德國小,商福村、杉福村,200,"水災,震災,土石流,海嘯",黃建榮,8612534,是,否,是
144,屏東縣琉球鄉,中福村,行政路12號,120.3837,22.3501,琉球鄉公所,本福村、中福村、漁福村,150,"水災,震災,土石流,海嘯",陳隆進,08-8612501,是,否,是
145,屏東縣枋寮鄉,保生村,海邊路6號,120.5997,22.3562,老人文康活動中心,隆山村、安樂村、中寮村、保生村,150,水災,潘志信,08-8782012,是,否,是
146,臺東縣大武鄉,大武村,大武街110號,120.9038,22.3564,大武老人會館,大鳥社區11~14鄰,150,"水災,震災,土石流,海嘯",董炎輝,089-791450,是,否,是
147,臺東縣大武鄉,大武村,大武街21巷1號,120.9064,22.3581,大武鄉多功能綜合活動中心暨避難收容所,大武鄉,300,"水災,震災,土石流,海嘯",高佳珍,089-792275,是,否,是
148,屏東縣春日鄉,古華村,古華路6鄰2巷46號,120.6281,22.3596,古華社區活動中心,古華村,100,"水災,土石流,海嘯",理事長陸清木,08-8783276,是,否,是
149,臺東縣大武鄉,大武村,大武街56號,120.8975,22.3596,大武村社區活動中心,大鳥社區10鄰,100,"水災,土石流,海嘯",陳立忠,089-791826,是,否,是
150,屏東縣春日鄉,古華村,3巷63號,120.626,22.361,古華國民小學,古華村、士文村,200,"水災,震災,土石流,海嘯",校長 林季福,08-8781040,是,否,是
151,屏東縣枋寮鄉,隆山村,僑德路186號,120.6,22.3631,僑德國小,隆山村、安樂村、中寮村、保生村,320,水災,陳郁程,08-8782096,是,否,否
152,屏東縣枋寮鄉,枋寮村,德興路197號,120.5908,22.3678,枋寮國小,枋寮村 新龍村,189,"水災,震災",鄭慧華,08-8782034,是,否,否
153,屏東縣春日鄉,士文村,64-2號,120.6639,22.3685,士文聚會所,士文村,50,"水災,震災,土石流,海嘯",村 長 程中廣,8790009,是,是,是
154,屏東縣春日鄉,士文村,65號,120.6635,22.3689,古華國民小學-士文分校,士文村,60,"水災,震災,土石流,海嘯",主任 戴照吉,08-8790029,是,否,是
155,屏東縣春日鄉,春日村,春日路13號,120.6243,22.3703,春日社區活動中心,春日村,50,"水災,震災,土石流,海嘯",理事長 余國基,08-8785913,是,否,是
156,屏東縣春日鄉,春日村,春日路314號,120.627,22.3703,春日國民小學,春日村、古華村、士文村,200,"水災,震災,土石流,海嘯",校長戴文柱,08-8782433,是,否,是
157,屏東縣枋寮鄉,新龍村,義民路3號,120.5908,22.3711,枋寮高中,枋寮村、新龍村,1136,"水災,震災",陳瑞華,08-8782095,是,否,否
158,臺東縣達仁鄉,新化村,57號,120.856773,22.381551,臺東縣立安朔國小新化分校,新化村,200,,吳昭明,089-792495,否,否,否
